Crown Fire Probability,Sum of acres treated
2,926.6
3,110
4,285.48
5,"1,329.4"
6,"5,216.1"
7,"1,015.1"
8,"4,327.07"
9,"6,105.22006"
10,"7,113.5"
11,"3,299.32178"
12,834.3
13,"11,368.86775"
14,"2,279.50791"
15,"9,007.62255"
16,"5,460.7595"
17,"1,249.97058"
18,"7,712.80498"
19,"1,630.94443"
20,"3,376.62537"
21,386.79974
22,"1,711.80531"
23,"3,350.5"
24,"2,394.8021"
25,"2,334.16788"
26,651.61341
27,"3,787.32469"
28,"19,132.93968"
29,"1,133.3"
30,"6,134.43363"
31,"6,794"
32,"3,549.86856"
33,"7,006.50409"
34,"4,936.91213"
35,329.08486
36,447.4
37,"2,103.98036"
38,294.91555
39,"1,067.2121"
40,953.8
41,"1,399.12942"
42,"1,267.63719"
43,"1,639.24671"
44,"2,473.35822"
45,172.43466
46,231.3
47,"1,150.17265"
48,48.93807
49,352.6
50,"9,502.6"
51,51.29564
52,"1,246.84901"
53,18.32588
54,729.9201
55,"1,710.83214"
56,436.92305
57,"1,613.70321"
58,773.09837
59,"3,713.671"
60,5.1
61,65.7318
62,112.88225
64,238.9827
66,155.17973
68,1.49313
69,"2,553.05"
70,"2,395.75291"
71,756.8
73,"1,338.2"
74,171.55532
79,6
80,8.5
81,39
82,38.82756
